Feature,Area,Priority,Status,Spec,Route / Surface,Notes,Next Step
Design system v3,Platform UX,P0,Shipped,docs/features/design-system.md,"App shell, pages, components","Canonical palette, typography, cards, buttons, density tokens","Keep future pages aligned"
App shell and navigation,Platform UX,P0,In Review,docs/features/design-system.md,app/(app)/layout.tsx,"User requested collapsible icon-only sidebar","Verify UX after collapse work"
Outlets,Operations,P0,Shipped,docs/features/outlets.md,/outlets,"Outlet CRUD, role gating, partner/manager model","Add audit log later if needed"
Outlet photos,Operations,P1,Shipped,docs/features/outlet-photos.md,/outlets/[id],"Cover/photo support for outlet identity","Review production image storage behavior"
Outlet investment tracking,Finance,P1,Shipped,docs/features/outlet-investments.md,"/admin/outlets, dashboard","Tracks total investment and recovery context","Tune recovery calculations with real COGS/expense data"
Employees,Operations,P1,Shipped,docs/features/employees.md,/employees,"Employee records, assignments, salary history","Future: CSV import and incentive calculations"
Contractors,Operations,P2,Shipped,docs/features/contractors.md,"Contractors surfaces","External agency/vendor people model","Future: broader vendor types"
Ingestion framework,Data,P0,Shipped,docs/features/ingestion-framework.md,/ingest,"Shared run lifecycle, preview, commit, rollback, row errors, soft delete","Keep all new ingestion through this framework"
Ingest UX v3,Data,P0,In Review,docs/features/ingest-ux-v3.md,"/ingest, /admin/integrations","Gmail strip, tabs, history, backfill, better run table","Confirm auto-commit behavior and Gmail backfill availability"
Sales ingestion,Data,P0,Shipped,docs/features/sales-ingestion.md,/ingest,"Petpooja, Pine Labs, Swiggy, canonical sales tables","Zomato parser remains sample-dependent"
Petpooja daily ingestion,Data,P0,Shipped,docs/features/petpooja-daily-ingestion.md,"/ingest, Gmail sync","Paired item bill/payment summary ingestion","Monitor auto-commit and report pairing quality"
Gmail auto-ingest phase 1,Data,P0,Shipped,docs/features/gmail-auto-ingest.md,"/ingest, /admin/integrations, cron","Connect Gmail, sync history, manual sync, backfill","Production OAuth redirect and cron verification"
Gmail invoice scanning,Expenses,P0,In Review,docs/features/gmail-auto-ingest.md,"Gmail sync, /expenses","Scans gas/rent/merchant/Airtel-style bills into pending expenses","Improve amount extraction confidence and attachment coverage"
OCR plus LLM bill extraction,Expenses/AI,P0,In Review,"docs/features/gmail-auto-ingest.md; docs/features/ai-stack-architecture.md","Gmail sync, upload parsing","Enables scanned PDFs/photos for bill capture","Add upload-photo entry point and extraction diagnostics"
P&L ingestion,Finance,P0,Shipped,docs/features/pnl-ingestion.md,"/pnl, /pnl/[id], /ingest","Parses franchise monthly P&L PDFs","Add cross-check against dashboard computed totals"
Expenses,Finance,P0,In Review,docs/features/expenses.md,/expenses,"Spend overview, manual expense, recurring, pending bills","Partner QA on scanned bills, amount, due date, categories"
Expense categories admin,Admin/Finance,P0,Shipped,"docs/features/expenses.md; docs/features/admin.md",/admin/expense-categories,"Category configuration and display order","Add budget edit polish if needed"
Inventory,Operations/Finance,P1,Shipped,docs/features/inventory.md,/inventory,"Item costs, supplier/unit metadata, import from sales items","Future: stock and reorder thresholds"
Dashboard v3,Analytics,P0,In Review,docs/features/dashboard-v3.md,/dashboard,"Morning check, trends, channel mix, top items, customer movement, discounts, payments","Verify chart labels, stale states, prod data queries"
Sales analytics,Analytics,P0,In Review,docs/features/sales-analytics.md,/sales,"Deep-dive page with metric, period, comparison, and breakdown controls","Verify daily sales query and chart number labels"
Customer intelligence,Analytics/CRM,P1,Shipped,docs/features/customer-intelligence.md,/customers,"Identity model, segments, lapsed customers, merge queue","Validate merge precision once real volume grows"
Customer segment definitions,Admin/CRM,P1,Shipped,"docs/features/dashboard-v3.md; docs/features/admin.md",/admin/customer-segments,"Configurable 4 dashboard customer movement tiles","Connect previews to live dashboard counts"
Admin module,Admin,P1,Partial,docs/features/admin.md,/admin/*,"Integrations, team, outlets, segments, categories, data, activity","Complete partner invite/change role/activity log depth"
Data export,Admin,P2,Partial,docs/features/admin.md,/admin/data,"Export destinations exist as UI surface","Verify CSV generation for each dataset"
Activity log,Admin,P2,Partial,docs/features/admin.md,/admin/activity,"Spec exists, UI surface exists","Ensure all critical mutations write activity events"
Tasks panel,Operations,P0,Shipped,docs/features/tasks.md,/tasks,"Task title, criticality, area, assignee, status","Add recurring tasks or comments later if needed"
AI stack architecture,AI,P2,Planned,docs/features/ai-stack-architecture.md,"Future packages/routes","Three-tier model: metrics, insights, recommendations","Implement Tier 2 only after deterministic metrics stabilize"
Deterministic insights,Analytics,P2,Planned,docs/v2.1-implementation-plan.md,"Dashboard insight slot","SQL-computed insights before LLM insights","Scope specific first 4-5 insights"
Recommendations engine,AI,P3,Deferred,docs/features/ai-stack-architecture.md,"Future recommendations surface","Human-approved weekly recommendations","Depends on Tier 2 insights"
WhatsApp notifications,Communications,P3,Deferred,"CLAUDE.md; prior discussion",Future,"User paused WhatsApp group/webhook direction","Revisit after compliance and provider choice"
Slack notifications,Communications,P3,Deferred,Prior discussion,Future,"Considered as simpler internal notification channel","Revisit when notification needs return"
Sales dashboard v1/v2,Analytics,Archived,Archived,docs/features/_archive/*,Replaced by dashboard v3,"Useful historical context","Do not build from archived specs"
